#{"t_start": 1739453192.7516766, "env_id": "None"}
r,l,t
1.9855474e-05,151,300.040226
0.0018677807,151,300.875744
0.0,301,302.514277
2.2184997e-06,151,305.767523
0.079835966,151,306.601637
1.8974556e-20,151,307.437531
5.467257e-13,151,308.269728
3.2193363,301,309.905111
0.029798454,301,311.540816
0.0,151,312.376452
5.890682e-26,151,313.209916
0.0,301,314.848802
9.5909505e-05,151,315.679925
0.03384111,151,316.513102
0.49589384,151,319.755085
8.5905995e-05,151,320.584084
0.0021984624,151,321.413083
7.83342e-35,301,323.045268
0.06878747,301,324.684672
6.8435694e-29,151,325.515464
0.027375117,601,328.755461
0.71996033,301,332.816133
2.549472e-16,451,335.264682
0.38817367,301,336.910681
1.5668623,301,338.551679
8.184151e-09,151,339.387677
2.9973733e-27,151,340.223676
1.0198038e-38,151,341.060677
5.4327084e-35,151,341.897674
4.8612685,301,343.541672
0.001746215,151,346.815689
5.391933e-27,151,347.651688
1.3008049e-17,451,350.088686
2.5843523e-05,151,350.920684
3.0865605,151,351.753683
0.45335916,151,352.586281
2.103255,301,354.222141
0.0003507825,151,355.05522
0.010803653,151,355.886767
2.5556133,151,356.719535
4.2842976e-11,151,357.550926
0.8931404,151,360.798064
4.4273324,151,361.630064
0.0015614446,301,363.264062
3.8539484e-11,151,364.097061
8.419572,151,364.92606
2.186404,151,365.756059
0.039082818,301,367.390689
1.414479,451,369.829881
0.0,301,373.885209
0.0037777775,301,375.5292
3.4873247e-07,151,376.362219
0.89508814,151,377.198485
2.4358795,301,378.834483
0.07818087,151,379.667482
0.37045163,151,380.500318
0.00041427254,151,381.33085
0.009241635,151,382.162578
1.4352476e-24,151,382.997057
0.5556041,151,383.830151
2.3423116,151,384.66015
0.9981516,301,388.710102
0.04662237,151,389.542741
-25.13116,149,390.363448
0.0,151,391.197521
0.0,451,393.634176
2.6743913e-14,151,394.464779
10.258021,301,396.095231
9.8935286e-29,301,397.730461
0.40329656,151,400.980988
1.4776272e-12,301,402.618987
-32.18433,124,403.312986
0.00064253603,151,404.143985
1.491109,301,405.779005
0.0,451,408.214978
7.292869e-18,151,409.04703
0.25800312,151,409.879614
2.7251182,301,411.517449
1.7514355e-33,151,414.7554
7.1504774e-26,451,417.197005
1.208163e-08,301,418.828863
1.423329,151,419.661855
1.8711524,151,420.496227
0.4963983,301,422.129576
6.842318e-14,151,422.96339
-40.82317,151,423.800134
3.49457e-40,301,425.437132
